identifier,datestamp,title,creators,date,sets,url
oai:ojs.localhost:article/693,2016-02-12T03:43:40Z,"Waterbirds at Narran Lake Nature Reserve, New South Wales, in 1996&nbsp;","Ley, Andrew J",2016-02-12,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/693
oai:ojs.localhost:article/1571,2016-04-07T05:13:53Z,"The Birds of ""Green Mountains""","Wheeler, W R",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1571
oai:ojs.localhost:article/2144,2019-04-26T06:54:30Z,(deleted),,,afo:ART,
oai:ojs.localhost:article/725,2016-02-23T04:45:04Z,Obituary- Raymond John Swaby,"Buckingham, R",2016-02-23,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/725
oai:ojs.localhost:article/1603,2016-04-07T03:15:28Z,The Nesting of the Spotted Pardalote,"Richards, Beryl",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1603
oai:ojs.localhost:article/36,2016-02-04T23:51:19Z,Arboreal Foraging and Food-caching by the Forest Raven Corvus tasmanicus,"Secomb, David",2016-01-28,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/36
oai:ojs.localhost:article/758,2016-02-23T04:24:11Z,Distraction Display of the Green Catbird Ailuroedus crassirostris,"Woodall, Peter F",2016-02-23,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/758
oai:ojs.localhost:article/1637,2016-04-07T03:31:36Z,Incubation period of the eggs of the Brolga,"Lowe, V T",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1637
oai:ojs.localhost:article/75,2016-04-12T06:55:51Z,White-bellied Sea-Eagle Haliaeetus leucogaster attempting to prey on Water Monitor Varanus salvator,"Iqbal, Muhammad; Zockler, Christoph; Syroechkovskiy, Evgeny",2016-01-14,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/75
oai:ojs.localhost:article/791,2016-02-26T04:17:58Z,"Singing Frequency over the Year of Skylarks and Brown Songlarks at Gatum, Western Victoria","Brouwer, Joost",2016-02-26,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/791
oai:ojs.localhost:article/1670,2016-04-07T03:34:51Z,Review - An Index of Australian Bird Names,"Cooper, Roy P",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1670
oai:ojs.localhost:article/2085,2021-03-18T03:45:05Z,A novel observation of food dunking in the Australian Magpie Gymnorhina tibicen,"Drinkwater, E.; Ryeland, J.; Haff, T.; Umbers, K.D.L.",2017-01-25,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/2085
oai:ojs.localhost:article/109,2016-02-05T01:43:19Z,Pechora Pipit Anthus gustavi in Australia,"Carter, Mike",2016-02-05,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/109
oai:ojs.localhost:article/823,2016-03-08T01:31:43Z,Review - Birds of Prey,"Tredinnick, Stephen",2016-03-08,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/823
oai:ojs.localhost:article/1704,2016-04-07T03:41:25Z,Reviews - Birds; Australian Parrots,"Cooper, Roy P",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1704
oai:ojs.localhost:article/2117,2021-03-18T03:31:01Z,An instance of coprophagy in the Australasian Darter Anhinga novaehollandiae,"Yong, Russell Q-Y.; <p>School of Biological Sciences, The University of Queensland, St Lucia, Brisbane QLD, Australia</p>",2018-02-06,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/2117
oai:ojs.localhost:article/142,2016-02-09T03:20:25Z,Unusual Food for the Bush Stone-curlew Burhinus grallarius,"Minton, Clive",2016-02-09,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/142
oai:ojs.localhost:article/856,2016-03-08T02:28:45Z,The Grey-crowned Babbler Pomatostomus temporalis - a Cause for Concern in Southern Victoria,"Schultz, Martin",2016-03-08,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/856
oai:ojs.localhost:article/1029,2016-03-29T01:23:07Z,"Notes on the Status of Little Curlew Numenius minutus in the Darwin Area, Northern Territory, 1974-1985","McKean, John L; Shurcliff, K S; Thomson, Hilary A F",2016-03-29,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1029
oai:ojs.localhost:article/1736,2016-04-07T04:18:22Z,Observations on the Nesting of the&nbsp;Great Crested Grebe,"Beruldsen, G R",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1736
oai:ojs.localhost:article/2151,2021-03-18T03:44:38Z,Deployment of novel nest-shelters to increase nesting attempts in a small population of Rock Parrots Neophema petrophila,"Sansom, James; Blythman, Mark; Dadour, Lucy; Rayner, Kelly",2019-01-23,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/2151
oai:ojs.localhost:article/178,2016-02-09T03:49:36Z,Unusual Nest-site of a Regent Honeyeater,"Ley, Andrew J; Cook, Shirley M; Williams, M B",2016-02-09,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/178
oai:ojs.localhost:article/888,2016-03-22T04:13:39Z,Breeding and other Behaviour of the Black-breasted Buzzard&nbsp;Hamirostra melanosternon,"Baker-Gabb, David",2016-03-18,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/888
oai:ojs.localhost:article/1062,2016-03-29T02:00:03Z,Use of Dead Trees by Birds,"McCulloch, Ellen M",2016-03-29,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1062
oai:ojs.localhost:article/1768,2016-04-05T06:46:19Z,Black-tailed Native Hen in Desert Country,"Rich, Edwin",2016-04-05,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1768
oai:ojs.localhost:article/2186,2021-03-18T03:44:23Z,"Numbers, distribution and behaviour of Australian Sarus Cranes Antigone antigone gillae and Brolgas A. rubicunda at wintering roosts on the Atherton Tablelands, far north Queensland, Australia","Scambler, Elinor C.; Nevard, Timothy D.; Harrington, Graham N.; Ceinwen Edwards, E.; Simmonds, Virginia; Franklin, Donald C.",2020-01-23,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/2186
oai:ojs.localhost:article/210,2016-02-12T03:05:22Z,Diet of Grey Falcons Falco hypoleucos Breeding Extralimitally in New South Wales,"Debus, S J S; Rose, A B",2016-02-12,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/210
oai:ojs.localhost:article/921,2016-03-22T05:18:02Z,Consistent Large Brood Rearing by Maned Ducks,"Chatto, Ray",2016-03-22,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/921
oai:ojs.localhost:article/1094,2016-04-07T05:18:11Z,Harry Bell - A Tribute,"Debus, Stephen",2016-03-29,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1094
oai:ojs.localhost:article/1802,2016-04-07T04:31:14Z,Waders in the Gulf Country,"Carruthers, R K",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1802
oai:ojs.localhost:article/2220,2021-12-21T20:12:41Z,Predicting the hatching date of Malleefowl Leipoa ocellata eggs without excavating the mound,"Blythman, Mark",2021-02-02,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/2220
oai:ojs.localhost:article/242,2016-02-12T03:44:36Z,Retrieval of Cached Food by Australian Magpie,"Oliver, Damon L",2016-02-12,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/242
oai:ojs.localhost:article/953,2016-03-22T05:29:33Z,Breeding Behaviour of the Brown Goshawk Accipiter fasciatus,"Aumann, T",2016-03-22,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/953
oai:ojs.localhost:article/1127,2016-04-07T05:33:33Z,"Notes on the Moult of a Fiordland Penguin Eudyptes pachyrhynchus at Port Fairy, Victoria, Australia, January 1982","Adams, John",2016-03-29,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1127
oai:ojs.localhost:article/1834,2016-04-07T04:38:02Z,The Nesting of the Rufous Bristle-bird,"Somerset, H B",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1834
oai:ojs.localhost:article/2252,2024-07-18T04:41:32Z,Book Review - The Action Plan for Australian Birds 2020. Edited by Stephen T. Garnett and G. Barry Baker,"Fitzsimons, James",2022-01-25,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/2252
oai:ojs.localhost:article/277,2016-02-12T04:38:47Z,Notes on the Diet of Nightjars in New South Wales,"Rose, A B",2016-02-12,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/277
oai:ojs.localhost:article/985,2016-03-22T05:54:49Z,Notes on the Superb Fairy-wren in an Isolated Habitat,"McFarland, D C",2016-03-22,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/985
oai:ojs.localhost:article/1160,2016-04-07T06:09:18Z,Notes on the Nesting of Flame and Scarlet Robins&nbsp;in East Gippsland,"Bedggood, George W",2016-03-29,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1160
oai:ojs.localhost:article/1866,2016-04-07T04:41:21Z,Association between Currawongs (Strepera graculina) and Satin&nbsp;Bower-birds (Ptilonorhynchus violaceus).,"Vellenga, Reta E",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1866
oai:ojs.localhost:article/2285,2023-12-21T01:23:39Z,Roosting and breeding behaviour of Tawny Frogmouths Podargus strigoides in central-coastal Queensland,"Briggs, Allan",2023-01-03,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/2285
oai:ojs.localhost:article/309,2016-02-19T00:43:06Z,Do White-throated Nightjars Eurostopodus mystacalis (Caprimulgidae) Make Scrapes for Their Egg Sites?,"Evison, Steven; Daly, Garry",2016-02-19,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/309
oai:ojs.localhost:article/1019,2016-04-07T05:24:53Z,Vestigial Wing Claws in Australian Birds of Prey,"Olsen, Penny D; Ross, Tony; Olsen, Jerry",2016-03-22,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1019
oai:ojs.localhost:article/1194,2016-03-29T05:58:10Z,Sympatry in the Australian Corvids,"Debus, Stephen J S",2016-03-29,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1194
oai:ojs.localhost:article/1899,2016-04-07T04:48:41Z,Cockatiels Breeding in Southern Victoria,"Whitbourn, E; Robinson, L N",2016-04-07,afo:ART,https://afo.birdlife.org.au/afo/index.php/afo/article/view/1899
